"item_num","human_score_mean","no1","no2","no3","no4","no5","no6","LSS_polarity"
1,2.66666666666667,2,2,2,3,4,3,-0.00291764252108854
2,4,4,4,4,4,4,4,0.00331033265605176
3,2.66666666666667,3,1,3,1,5,3,0.0387801439745347
4,3.66666666666667,4,3,4,3,5,3,-0.00434508416163879
5,4.5,4,5,5,4,5,4,0.00271132935047674
6,1.33333333333333,1,1,3,1,1,1,0.00107353935777177
7,2.66666666666667,3,2,4,2,3,2,0.000559281298718348
8,2.33333333333333,0,3,2,2,4,3,-0.00891498709842266
9,3,2,3,3,3,4,3,-0.0030887143097034
10,2.16666666666667,3,1,2,3,2,2,1.68417363875347e-05
11,2.33333333333333,2,1,3,3,2,3,0.00316996157285207
12,3.33333333333333,3,4,4,2,4,3,0.000106181986634416
13,4.16666666666667,4,5,4,4,4,4,0.00282693527476801
14,3.66666666666667,3,3,4,3,5,4,0.00341558707569759
15,3.16666666666667,3,3,4,3,4,2,-0.00384682448560979
16,2.66666666666667,3,2,3,3,3,2,0.0134533348539698
17,4.33333333333333,4,4,5,4,5,4,-0.00756190614614879
18,3.33333333333333,2,4,3,4,4,3,-0.00147174176065353
19,1.66666666666667,1,1,2,0,3,3,-0.00519289223058262
20,2.83333333333333,0,3,3,4,4,3,-0.00178892455410903
21,1.66666666666667,2,2,2,2,1,1,0.00562569545971855
22,1.33333333333333,1,2,3,0,2,0,0.0136208712917278
23,3.5,3,4,3,4,4,3,0.0102597216415857
24,3.5,3,4,3,3,5,3,0.00283440141103473
25,2.83333333333333,3,3,3,2,4,2,0.00715548471690292
26,2.5,3,1,3,3,3,2,-0.000850903255005769
27,3.33333333333333,3,4,3,2,5,3,-0.0141008682210419
28,1.16666666666667,0,1,1,0,3,2,0.013888960380614
29,2.5,3,2,2,2,4,2,0.0112910223172021
30,2.16666666666667,2,4,2,1,2,2,-0.0015263779590544
31,1.83333333333333,2,1,2,1,3,2,-0.00569802016009927
32,3.33333333333333,3,3,3,3,5,3,0.0113156639213135
33,2.16666666666667,2,1,3,2,4,1,-0.00165044596408489
34,2.83333333333333,3,2,3,3,3,3,0.00325083629561366
35,3.83333333333333,3,4,5,4,5,2,0.0116312428132079
36,4,4,4,4,3,5,4,-0.00110328678322563
37,3.83333333333333,0,4,5,5,4,5,0.00165612024559492
38,2.5,2,3,2,2,4,2,0.00203826626291171
39,2.83333333333333,3,3,2,2,5,2,0.010363115008691
40,3,3,3,3,3,4,2,-0.0107413774629723
41,3.16666666666667,3,2,3,3,5,3,-0.00480094813171971
42,2.66666666666667,3,1,2,2,4,4,-0.00516456406887214
43,3.16666666666667,3,4,3,2,4,3,0.0110276159671586
44,4.5,4,4,5,4,5,5,-0.00263402175131299
45,2.66666666666667,1,1,3,3,4,4,0.00705739240504043
46,4.16666666666667,4,5,5,4,4,3,-0.00209515918451427
47,2.16666666666667,2,2,3,2,2,2,0.00882436537515283
48,3.33333333333333,3,4,3,3,4,3,0.0152260461295388
49,2.16666666666667,2,2,2,2,3,2,0.0151284777769407
50,3.83333333333333,3,5,4,3,5,3,-0.00640044789067827
51,2,0,0,3,3,3,3,0.00716670048723588
52,3.66666666666667,4,0,5,4,5,4,0.000511325457383231
53,4,4,4,4,4,4,4,-0.00250381946035771
54,3.83333333333333,3,4,4,3,5,4,-0.00370240000403404
55,2.5,1,2,3,3,3,3,-0.001722720247237
56,1.66666666666667,2,1,2,2,2,1,-0.00224163132653462
57,2,3,1,2,0,3,3,0.00596998058185595
58,2.33333333333333,3,2,2,3,3,1,-0.00757219758302591
59,3.16666666666667,3,3,3,3,4,3,-0.00481572321493606
60,2.16666666666667,3,1,2,2,3,2,-0.00448286500228566
61,3,3,4,3,3,3,2,0.00204812895137637
62,1.33333333333333,2,1,1,1,2,1,0.00482400956805715
63,3,3,4,3,3,2,3,0.00341805019492598
64,1.83333333333333,3,0,2,1,3,2,0.00165482507379137
65,2.33333333333333,3,2,2,1,4,2,-0.0157863928673228
66,2.33333333333333,3,0,2,2,4,3,0.00530882997819036
67,2.83333333333333,2,3,3,3,4,2,0.00746913803483387
68,2.5,3,4,2,1,3,2,-0.00275141030776557
69,3.5,3,4,3,3,4,4,0.000859706345754745
70,2.33333333333333,3,1,3,2,3,2,-0.0014883554106921
71,2.16666666666667,0,1,3,2,4,3,-0.00203502732098559
72,3.33333333333333,3,4,3,3,4,3,-0.00164608503017433
73,3,3,2,3,3,4,3,2.5136885094141e-05
74,2.5,3,3,3,2,3,1,0.000373513599661914
75,3.33333333333333,3,4,3,3,4,3,0.00508268148905228
76,4.5,4,5,4,4,5,5,0.000389335501468534
77,2.5,2,3,3,2,3,2,0.0113918907470686
78,3.83333333333333,4,4,4,4,4,3,-0.0103624927942694
79,1.5,3,1,3,0,2,0,-3.14398836538033e-05
80,2.66666666666667,3,2,3,3,2,3,-0.00439054149686688
81,2.5,3,2,3,2,3,2,0.00870336083753206
82,2.83333333333333,3,2,3,3,3,3,-0.00809693007730467
83,2.5,3,0,3,3,3,3,0.00686476662128368
84,2.5,2,2,4,2,2,3,0.0047628111315281
85,3.66666666666667,3,4,3,4,4,4,0.000875597066820408
86,2.5,3,2,3,2,2,3,0.00106056087304782
87,3.16666666666667,3,3,3,3,4,3,0.00026431374516626
88,1.16666666666667,1,0,1,1,1,3,0.000956419660225336
89,2.5,3,0,3,3,4,2,0.000267087507800244
90,2.5,3,2,2,3,3,2,-0.00703628121330369
91,2.83333333333333,3,4,2,2,4,2,-0.000902770833102371
92,3.16666666666667,3,4,3,3,4,2,-0.00428152907899295
93,2.16666666666667,3,2,3,1,2,2,0.0087579581640171
94,2.83333333333333,3,2,3,3,4,2,-0.00227976777881732
95,3,3,4,3,2,4,2,-0.00421507797228432
96,3.66666666666667,3,4,4,3,5,3,-0.0065612622642675
97,3.16666666666667,2,4,3,3,4,3,0.00174238262069736
98,4.5,4,5,4,4,5,5,-0.00131179067988491
99,4.33333333333333,4,5,4,4,4,5,0.00596674750275982
100,2.16666666666667,2,0,3,3,2,3,0.00231142097728833
